fredag 15. mars 2024	17:56:17
Time(s)	SP-1	SP-2	SP-3	SP-4	SP-5	SP-6	SP-7	SP-8	SP-9	SP-10	SP-11	SP-12	SP-13	SP-14	SP-15	SC-1	SP-16	SP-17	SP-18	SP-19	SP-20	SP-21	SP-22	SP-23	SP-24	SP-25	SP-26	SP-27	SP-28	SP-29	SP-30	
65,000000	1205,491631	192,184790	188,960883	205,930150	232,948850	247,040819	266,614360	295,564158	276,197648	251,007970	321,918028	357,911680	345,177245	350,201370	367,091389	5,290662	279,124928	391,125913	396,826884	431,888097	423,609797	433,797361	480,753847	474,648855	487,807991	503,155817	520,912670	504,205060	508,000695	554,193628	559,625640
66,000000	1205,491631	192,369533	188,660914	205,398959	232,450619	245,514911	264,631472	294,320910	273,923075	250,289902	319,688901	355,016154	341,754958	345,573035	362,548778	5,224670	283,048477	385,062663	390,754198	428,835143	416,191462	425,657067	475,567126	465,668021	477,930620	492,578949	514,017448	493,875798	498,182021	541,836965	547,954211
67,000000	1205,491631	192,586758	188,955773	205,509920	232,116452	245,523654	264,812935	293,654909	273,223535	249,676475	318,218047	353,289691	339,957005	344,303663	360,267767	5,184720	286,494671	382,746836	388,410311	426,451311	414,150504	423,264400	472,730023	469,716378	479,218259	491,659396	510,806738	492,804467	494,602286	543,674025	553,390813
68,000000	1205,491631	193,107432	189,535607	206,119876	232,490133	246,289362	265,486236	294,105658	273,867702	249,977042	318,316517	353,543868	340,209799	344,898934	360,475547	5,184418	289,831494	383,299133	388,671756	424,733110	415,024862	423,627171	472,130305	465,825048	479,177598	491,821965	510,185627	492,859042	492,623827	541,314178	547,873863
69,000000	1205,491544	193,093874	188,738201	205,105638	231,523505	243,929652	262,148054	292,327080	270,922018	247,928778	315,508633	350,853847	336,686424	338,103446	356,817883	5,140866	292,171593	376,913220	380,508213	412,595089	407,124666	414,022624	464,715901	444,332666	461,090968	478,324803	502,399215	476,474833	472,459486	515,892490	519,666379
70,000000	1205,491579	192,349395	186,940011	202,911432	228,896577	240,045042	257,457343	288,254526	265,578071	243,269524	309,956354	345,573717	330,089718	328,112163	349,761240	5,041082	293,311504	365,914292	368,248767	397,078882	394,119242	399,782614	452,753768	427,423095	442,672367	461,258590	489,037311	456,104181	450,773463	494,709640	498,882301
71,000000	1205,491600	191,300248	185,019131	200,519351	225,878970	236,350102	253,247865	283,509128	260,348006	237,799715	303,712138	338,600716	322,651081	319,173272	341,491690	4,918778	293,549679	354,714019	356,508167	383,888642	381,249833	386,346466	440,064509	414,524094	428,482336	446,021146	474,203584	439,690124	433,812918	479,091064	483,535412
72,000000	1205,491612	190,126397	183,333471	198,479590	223,059148	233,194995	249,691852	279,152206	255,714113	232,461910	297,843874	331,606220	315,649331	311,966431	333,325768	4,794591	293,010530	345,148711	346,818463	373,629923	370,445850	375,359926	428,475713	404,957304	418,009623	433,831037	460,244192	427,500851	421,364232	467,794655	472,405080
73,000000	1205,491620	189,202994	182,070515	196,834813	220,808554	230,806339	247,044268	275,490533	252,123800	227,863826	292,933050	325,417785	309,657329	306,407812	326,021208	4,683596	291,927043	337,519925	339,334707	365,935852	361,949614	366,862691	418,628024	398,219048	410,470420	424,678831	448,384127	418,646705	412,415442	459,947788	464,777397
74,000000	1205,491624	188,511775	181,163124	195,625166	219,101558	229,122971	245,193509	272,675348	249,510728	224,201782	289,083569	320,429601	305,052381	302,468618	320,089202	4,593404	290,508474	332,049403	334,089230	360,606154	355,988541	360,914396	410,984854	393,925596	405,569152	418,414932	439,179401	412,833788	406,582604	455,011163	460,110214
75,000000	1205,491627	188,073760	180,600670	194,854499	217,953972	228,036446	243,998572	270,694103	247,777917	221,527927	286,297564	316,770213	301,775887	299,829273	315,563768	4,524981	289,018988	328,374105	330,528486	357,073366	351,969605	356,985536	405,383235	391,016559	402,317363	414,345886	432,532035	409,034645	402,745133	451,739392	456,857172
76,000000	1205,491628	187,833724	180,279806	194,377305	217,228883	227,363786	243,210409	269,341522	246,648096	219,621413	284,339204	314,167021	299,479915	298,047047	312,249514	4,475745	287,458627	325,906270	328,133877	354,701366	349,246528	354,369456	401,433092	389,218048	400,261433	411,717275	427,859780	406,582672	400,252880	449,654417	454,948990
